MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
37912,R,R,R0,,S,R,1,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,R,,,R,R,R0,,R,S,2,,S,R,1,,R,R,R0,,S,R,1
37915,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
37917,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
37918,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,,,S,S,S0,,R,S,2,,S,S,S0,,R,S,2,,R,S,2
37919,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
37920,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,R,1,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37921,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
37922,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,NA,S,4,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
37924,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,NA,S,4
37925,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37926,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37927,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0
37928,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,S,2,,S,S,S0
37932,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,R,1,,S,R,1,,R,R,R0,,S,R,1
37933,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
37934,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,R,R,R0,,S,R,1,,S,S,S0,,R,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
37945,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,S,S,S0
37952,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37966,R,R,R0,,S,S,S0,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,S,R,1,,R,R,R0,,S,S,S0
37976,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,NA,S,4,,S,R,1,,S,S,S0
37981,R,R,R0,,S,R,1,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
37982,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
37985,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37987,S,R,1,,S,S,S0,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,R,R,R0,,R,S,2,,S,S,S0
38007,R,R,R0,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,S,R,1,,R,S,2,,S,S,S0
38015,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
